DATE,CONTRACT_ID,PERSONAL_ID,BRAND,PREFECTURE,JOIN_FLAG,LEAVE_FLAG
2024-01-01,CT03746,CT03746,A,北海道,1,0
2024-01-01,CT00355,CT00355,A,大阪府,1,0
2024-01-01,CT00415,CT00415,B,福岡県,1,0
2024-01-01,CT02123,CT02123,A,北海道,1,0
2024-01-01,CT00205,CT00205,C,福岡県,1,0
2024-01-01,CT02986,CT02986,C,北海道,1,0
2024-01-01,CT06656,CT06656,A,北海道,1,0
2024-01-01,CT01535,CT01535,A,大阪府,1,0
2024-01-01,CT02254,CT02254,B,東京都,1,0
2024-01-01,CT03663,CT03663,C,愛知県,1,0
2024-01-01,CT00154,CT00154,B,東京都,1,0
2024-01-01,CT00191,CT00191,C,愛知県,1,0
2024-01-01,CT04512,CT04512,C,東京都,1,0
2024-01-01,CT02602,CT02602,B,大阪府,1,0
2024-01-01,CT00391,CT00391,C,福岡県,1,0
2024-01-01,CT03097,CT03097,A,東京都,1,0
2024-01-01,CT05810,CT05810,B,神奈川県,1,0
2024-01-01,CT00734,CT00734,B,愛知県,1,0
2024-01-01,CT02728,CT02728,C,東京都,1,0
2024-01-01,CT05078,CT05078,A,東京都,1,0
2024-01-01,CT01435,CT01435,A,神奈川県,1,0
2024-01-01,CT04185,CT04185,C,大阪府,1,0
2024-01-01,CT05548,CT05548,B,福岡県,1,0
2024-01-01,CT01312,CT01312,B,京都府,1,0
2024-01-01,CT05028,CT05028,B,北海道,1,0
2024-01-01,CT06157,CT06157,C,神奈川県,1,0
2024-01-01,CT05607,CT05607,C,福岡県,1,0
2024-01-01,CT04460,CT04460,A,東京都,1,0
2024-01-01,CT01020,CT01020,C,大阪府,1,0
2024-01-01,CT05695,CT05695,C,福岡県,1,0
2024-01-01,CT04499,CT04499,A,大阪府,1,0
2024-01-01,CT06783,CT06783,B,福岡県,1,0
2024-01-01,CT01005,CT01005,B,福岡県,1,0
2024-01-01,CT02858,CT02858,C,大阪府,1,0
2024-01-02,CT00012,CT00012,B,福岡県,1,0
2024-01-02,CT05572,CT05572,C,大阪府,1,0
2024-01-02,CT03858,CT03858,B,大阪府,1,0
2024-01-02,CT05765,CT05765,B,神奈川県,1,0
2024-01-02,CT01096,CT01096,C,東京都,1,0
2024-01-02,CT04380,CT04380,C,大阪府,1,0
2024-01-02,CT02083,CT02083,A,北海道,1,0
2024-01-02,CT04082,CT04082,B,北海道,1,0
2024-01-02,CT01947,CT01947,A,京都府,1,0
2024-01-02,CT01986,CT01986,B,大阪府,1,0
2024-01-02,CT06296,CT06296,B,福岡県,1,0
2024-01-02,CT06812,CT06812,A,京都府,1,0
2024-01-02,CT02613,CT02613,C,神奈川県,1,0
2024-01-02,CT03790,CT03790,B,神奈川県,1,0
2024-01-02,CT03977,CT03977,B,大阪府,1,0
2024-01-02,CT03431,CT03431,A,京都府,1,0
2024-01-02,CT03576,CT03576,B,愛知県,1,0
2024-01-02,CT01711,CT01711,C,東京都,1,0
2024-01-02,CT03624,CT03624,C,北海道,1,0
2024-01-02,CT06440,CT06440,C,大阪府,1,0
2024-01-02,CT00249,CT00249,B,愛知県,1,0
2024-01-02,CT03494,CT03494,C,東京都,1,0
2024-01-02,CT00586,CT00586,B,神奈川県,1,0
2024-01-02,CT00606,CT00606,C,東京都,1,0
2024-01-02,CT00085,CT00085,C,大阪府,1,0
2024-01-02,CT02969,CT02969,A,京都府,1,0
2024-01-02,CT00970,CT00970,B,大阪府,1,0
2024-01-02,CT03747,CT03747,C,愛知県,1,0
2024-01-02,CT04166,CT04166,B,福岡県,1,0
2024-01-02,CT02563,CT02563,B,京都府,1,0
2024-01-02,CT06874,CT06874,B,大阪府,1,0
2024-01-03,CT01804,CT01804,C,東京都,1,0
2024-01-03,CT04016,CT04016,A,北海道,1,0
2024-01-03,CT02458,CT02458,B,北海道,1,0
2024-01-03,CT02740,CT02740,A,大阪府,1,0
2024-01-03,CT00055,CT00055,B,京都府,1,0
2024-01-03,CT04265,CT04265,C,北海道,1,0
2024-01-03,CT03942,CT03942,B,北海道,1,0
2024-01-03,CT06026,CT06026,B,東京都,1,0
2024-01-03,CT04903,CT04903,A,東京都,1,0
2024-01-03,CT00471,CT00471,B,神奈川県,1,0
2024-01-03,CT04829,CT04829,A,神奈川県,1,0
2024-01-03,CT04357,CT04357,A,神奈川県,1,0
2024-01-03,CT02817,CT02817,B,京都府,1,0
2024-01-03,CT04374,CT04374,C,愛知県,1,0
2024-01-03,CT01339,CT01339,B,東京都,1,0
2024-01-03,CT03335,CT03335,B,愛知県,1,0
2024-01-03,CT02767,CT02767,B,京都府,1,0
2024-01-03,CT04981,CT04981,C,福岡県,1,0
2024-01-03,CT05262,CT05262,A,愛知県,1,0
2024-01-03,CT05017,CT05017,B,東京都,1,0
2024-01-03,CT05101,CT05101,C,愛知県,1,0
2024-01-03,CT06393,CT06393,B,北海道,1,0
2024-01-03,CT03519,CT03519,A,神奈川県,1,0
2024-01-03,CT00974,CT00974,C,京都府,1,0
2024-01-03,CT04629,CT04629,C,大阪府,1,0
2024-01-03,CT06754,CT06754,C,東京都,1,0
2024-01-03,CT04433,CT04433,B,京都府,1,0
2024-01-03,CT03588,CT03588,A,福岡県,1,0
2024-01-03,CT04501,CT04501,C,北海道,1,0
2024-01-03,CT02009,CT02009,B,京都府,1,0
2024-01-03,CT05648,CT05648,C,神奈川県,1,0
2024-01-03,CT02194,CT02194,B,福岡県,1,0
2024-01-03,CT01425,CT01425,C,愛知県,1,0
2024-01-03,CT05507,CT05507,B,愛知県,1,0
2024-01-03,CT03838,CT03838,B,神奈川県,1,0
2024-01-03,CT05570,CT05570,A,北海道,1,0
2024-01-03,CT03818,CT03818,C,京都府,1,0
2024-01-04,CT04030,CT04030,B,東京都,1,0
2024-01-04,CT02178,CT02178,C,東京都,1,0
2024-01-04,CT02127,CT02127,A,京都府,1,0
2024-01-04,CT02282,CT02282,A,大阪府,1,0
2024-01-04,CT04430,CT04430,B,京都府,1,0
2024-01-04,CT06258,CT06258,A,大阪府,1,0
2024-01-04,CT02512,CT02512,A,愛知県,1,0
2024-01-04,CT06766,CT06766,B,大阪府,1,0
2024-01-04,CT04379,CT04379,A,愛知県,1,0
2024-01-04,CT00107,CT00107,C,福岡県,1,0
2024-01-04,CT06381,CT06381,C,京都府,1,0
2024-01-04,CT00330,CT00330,A,神奈川県,1,0
2024-01-04,CT04543,CT04543,C,福岡県,1,0
2024-01-04,CT04549,CT04549,C,京都府,1,0
2024-01-04,CT01411,CT01411,A,東京都,1,0
2024-01-04,CT04043,CT04043,C,神奈川県,1,0
2024-01-04,CT00402,CT00402,B,京都府,1,0
2024-01-04,CT06321,CT06321,A,京都府,1,0
2024-01-04,CT06088,CT06088,A,東京都,1,0
2024-01-04,CT04625,CT04625,C,北海道,1,0
2024-01-04,CT05327,CT05327,A,愛知県,1,0
2024-01-04,CT04977,CT04977,B,大阪府,1,0
2024-01-04,CT06422,CT06422,A,京都府,1,0
2024-01-04,CT03495,CT03495,B,東京都,1,0
2024-01-04,CT04681,CT04681,B,東京都,1,0
2024-01-04,CT06556,CT06556,A,北海道,1,0
2024-01-04,CT01067,CT01067,B,神奈川県,1,0
2024-01-04,CT00335,CT00335,A,福岡県,1,0
2024-01-04,CT05202,CT05202,C,東京都,1,0
